 Code,Guam,NH Oki,Oki MEU,3rd MLG,NH Yoko,Rota,Napl,Sig,NMCP,Jax,Gitmo,NHCL,2nd MLG,2nd MEU,CBIRF,NMCSD,NH 29P,NH Pend,1st MLG,1st MEU
401,1,2,3,4,5,6,7,8,1,5,11,2,3,4,15,6,17,18,19,20
402,4,2,3,4,5,2,1,3,9,10,5,12,13,14,15,16,17,18,19,20
403,3,4,3,4,5,6,7,8,8,1,11,6,13,14,15,7,5,2,19,20
404,6,2,3,4,5,4,7,8,1,10,11,3,13,14,15,2,17,18,19,20
405,1,2,3,4,5,6,7,8,1,10,11,3,13,14,15,2,17,18,5,4
406,1,2,3,4,5,6,1,8,5,2,11,3,13,8,7,6,17,4,19,20
407,1,5,6,7,4,8,9,8,3,1,2,12,13,14,15,16,17,18,19,20
408,1,2,3,4,5,6,7,8,1,10,11,2,13,14,15,16,17,18,19,20
409,1,2,3,4,5,6,7,8,2,10,11,12,13,14,15,1,17,18,19,20
410,1,2,3,4,5,6,7,8,1,10,11,4,13,14,15,2,17,18,3,20
411,1,6,3,7,5,6,7,8,9,10,11,2,3,1,15,16,17,18,5,4
412,1,2,3,4,5,6,7,8,9,3,11,6,4,5,15,16,17,9,8,7
413,1,2,4,5,5,6,7,8,9,8,11,2,3,1,15,16,17,18,7,6
414,1,2,3,4,5,6,7,8,9,1,11,12,13,14,15,16,17,18,19,20
415,1,2,3,4,5,6,6,8,9,1,11,12,13,14,2,16,3,18,4,5
416,1,2,3,4,5,6,7,8,5,1,11,2,7,14,15,6,4,3,19,20
417,1,2,3,4,5,6,5,7,3,2,11,12,13,14,15,1,8,4,19,20
418,1,2,3,4,5,4,6,8,9,5,2,12,13,14,15,16,3,1,19,20
419,1,2,3,4,5,6,7,8,3,4,11,12,13,14,15,1,17,2,19,20
420,1,2,3,4,5,6,7,8,1,10,11,12,13,14,15,16,17,18,19,20
421,1,2,3,4,5,6,7,8,6,5,11,7,13,14,15,1,17,2,3,4
422,1,2,3,4,4,6,7,8,9,2,11,12,13,14,15,5,17,3,19,20
423,1,2,3,4,5,6,7,8,4,1,11,5,13,14,15,2,6,3,19,20
424,1,2,3,4,5,6,7,8,1,3,11,4,13,14,15,2,6,5,19,20
425,1,2,3,4,5,6,7,8,5,2,11,12,13,14,1,3,17,4,19,20
426,1,2,3,4,5,6,4,8,9,2,11,12,13,14,15,1,17,3,19,20
427,1,2,3,4,5,6,7,8,1,10,11,2,13,14,15,16,17,18,19,20
428,1,2,3,4,5,5,6,8,2,1,11,3,13,14,15,4,17,18,19,20
429,1,2,4,2,5,6,7,8,9,10,11,12,6,5,15,16,17,18,1,3
430,1,2,3,4,5,6,7,8,1,2,11,12,13,14,15,3,17,4,19,20
431,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1,4,2,3
432,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,3,2,1,4,5
433,1,2,3,4,5,6,7,8,5,2,11,12,13,14,15,4,3,1,19,20
434,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,2,5,3,4,1
435,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,3,1,2
436,1,2,3,4,5,6,1,2,3,10,11,12,13,14,15,16,17,4,19,20
437,1,2,3,4,5,6,7,8,2,10,11,12,13,14,15,1,17,18,19,20
438,6,2,3,4,7,3,4,5,1,2,11,12,13,14,15,16,17,18,19,20
439,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,4,17,2,1,3
440,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,3,4,18,2,1
441,5,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,4,3,2,1
442,1,2,3,4,5,6,7,8,1,3,4,2,13,14,5,16,17,18,19,20
443,1,2,3,4,5,6,7,8,5,4,11,3,13,14,15,1,7,2,19,6
444,1,2,3,4,5,6,7,8,1,5,11,4,3,2,15,6,17,18,19,20
445,1,2,3,4,5,6,7,8,5,6,11,12,13,14,15,3,4,18,1,2
446,1,1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
447,1,2,3,4,5,6,7,8,5,1,11,3,13,14,15,2,17,4,19,20
448,1,2,3,4,5,6,7,8,5,1,8,12,13,14,7,6,17,4,2,3
449,1,2,3,4,5,6,7,8,2,1,11,4,13,14,15,3,17,18,19,20
450,1,3,10,7,2,6,7,8,9,4,11,12,9,12,15,6,17,5,8,11
451,1,2,3,4,5,6,7,8,3,4,11,5,13,14,15,1,6,2,19,20

