 Code,Guam,NH Oki,Oki MEU,3rd MLG,NH Yoko,Rota,Napl,Sig,NMCP,Jax,Gitmo,NHCL,2nd MLG,2nd MEU,CBIRF,NMCSD,NH 29P,NH Pend,1st MLG,1st MEU
401,,,,,,,,9,7,,,6,,,,,,,,
402,1,,,,,3,7,1,,,2,,,,,,,,,
403,,,,,,,, ,,,,10,,,,,7,,,
404,,,,,,,,,,,,1,,,,,,,,
405,,,,,,,,,6,,,3,,,,,,,,13
406,,,,,,,,4,,,,,,,,,,,,
407,,,,,,,,,14,1,3,,,,,,,,,
408,,,,,,,,,2,,,,,,,,,,,
409,,,,,,,,,9,,,,,,,2,,,,
410,,,,,,,,5,,,,2,,,,,10,,3,8
411,,2,,1,,,,10,,,,,,2,,,,,9,15
412,2,3,,,,,,,,,,4,1,,,,,,7,7
413,,,,2,,,,,,,,,,1,,,,,,10
414,,,,,,,,,,2,,,,,,,,,,
415,,,,,,,6,3,,6,,,,,,,3,,1,16
416,,,,,,,,,,8,,7,3,,,,13,,6,
417,,,,,,,3,,12,,,,,,,7,5,,,
418,,,,,,1,2,,,,1,,,,,,6,,,
419,3,,,,3,2,,,,,,,,,,5,,2,,
420,,,,,,,,,1,,,,,,,,,,,
421,,,,,,,,,13,,,9,,,,,,,10,14
422,5,,,,2,,,,,,,,,,,,9,4,,
423,,,,,,,,,,4,,,,,,9,,,,
424,,,,,,,,,8,,,,,,,4,,,,
425,,,,,,,,2,,,,,,,1,1,,,,
426,,,,,,,8,,,,,,,,,8,,,,
427,,,,,,,,,5,,,,,,,,,,,
428,4,,,,,,,,10,,,,,,,,,,,
429,,,1,,,5,4,,,,,,2,,,,,,,2
430,,,,,,6,5,,3,3,,,,,,,,,,
431,,,,,,,,8,,,,,,,,,1,1,8,1
432,,,,,,,,,,,,,,,,,2,,,5
433,,,,,,,,,,5,,,,,,,4,,,
434,,,,,,,,,,,,,,,,,8,3,11,11
435,,,,,,,,,,,,,,,,,,,2,9
436,,,,,,3,,,,,,,,,,,,,,
437,,,,,,,,,,,,,,,,3,,,,
438,,,,,,4,1,,4,,,,,,,,,,,
439,,,,,,,,,,,,,,,,,,,4,6
440,,,,,,,,7,,,,,,,,,12,,,3
441,,,,,,,,6,,,,,,,,,11,,,12
442,,,,,,,,,,,4,8,,,,,,,,
443,,,,,,,,,,,,11,,,,,,,,
444,,,,,,,,,11,,,,4,,,,,,,
445,,,,,,,,,,,,,,,,,,,5,4
446,,1,,,,,,,,,,,,,,,,,,
447,,,,,,,,,,,,,,,,,,,,
448,,,,,,,,,,9,,,,,,,,,,
449,,,,,,,,,,,,,,,,,,,,
450,,4,,,1,,,,,7,,5,,,,,,,,
451,,,,,,,,,,,,,,,,6,14,,,
