Code,29 Palms ED,Camp Lejeune ED,Camp Pendleton ED,Ft. Belvoir ED,Guam ED,Guantanamo Bay ED,Jacksonville ED,Naples ED,Navy Trauma Training Center,Okinawa ED,Portsmouth ED,Rota ED,San Diego ED,Sigonella ED,Walter Reed ED,Yokosuka ED,Camp Lejeune 2nd Marine Logistics Group (MLG),3rd Marine Logistics Group (Okinawa),Camp Lejeune Marine Expeditionary Unit,Camp Pendleton Marine Expeditionary Unit,"Chem-Bio Incident Response Force (Indian Head, MD)"
200,,,,,,,,,,,7,,7,,8,,,,,,
201,,,,,,,,1,,5,,,,,,,,,1,,
202,8,,,,,,,,,40,,,4,,,,8,,10,,
203,3,,,,10,1,,4,3,,6,,6,3,,,,,,7,
204,,,,,,,,,,14,1,,2,,,,,,,,
205,,,,,,,,,,1,,,,,,,,,,,
206,,2,,,,,,,,39,,,13,,5,,,,,,
207,1,,9,11,13,,,,,38,15,,,,7,,,,,,
208,,,,,9,,,,,37,,,,,,2,,,,1,
209,,,8,,,,,,,16,,,,,,,,,,,
210,,6,,,,,,3,,25,12,,,,,,,,2,,
211,7,,,9,15,,,,,36,,,,,9,,6,,7,,
212,,,,,,,3,,,17,,,,,,,,,,,
213,,, ,3,,,10,,,41,,,,,6,,,,,,
214,,,,,16,,,,,35,8,,,,,,9,,11,,
215,,,,,,,,,,,9,,10,,,,,,,,
216,,15,,,,,,,,18,16,,,,,,,,,,
217,,,,,,,,,,8,,,,,,,,1,,,
218,,,7,,,,,,,19,,,,,,,,,,,
219,,,,,12,,,,,20,,,,,,3,,,,,
220,,,,,11,,,,,,18,,,4,,,,,,,
221,,,,,,,8,,,21,,3,,,,,,,,,
222,,,2,,,,,,,34,,,11,,,,,,,,
223,,,3,,,,,,,22,,,14,,,,,,,4,
224,5,3,11,8,8,,9,,,4,,,,,4,,,,,,
225,,, ,,,,,,,,11,,,,,,,,,,
226,,, ,,,,,,,33,10,,,1,,,,,,,
227,4,12,13,,4,,,,,32,,,,,,,1,3,,6,
228,,1,,,,,,,,7,,,,,,,,,,,
229,,,,,3,,,,,13,4,,,,,,,,,,
230,,,20,4,,,6,,,3,,,,,,,,,,,
231,,,,,,,2,,,,,,,,,,,,,,
232,,,,5,,,,,,12,,,3,,1,,,,,,
233,,,5,,,,,,,31,,,,,,,,,,3,
234,6,11,,7,,,,,,,13,,5,,11,,,,3,9,
235,9,4,14,,2,,4,,,23,,,,,,,2,,5,8,
236,,,,,,,1,,,,,,,,,,,,,,
237,2,,4,,,,,,,24,,1,9,,,,,,,,
238,,,,,,,,,,10,5,,,,,,,,,,
239,,14,,10,,,,,,,14,,,,,,3,,,,
240,,7,,,,,,,,,,,,,,,,,4,2,
241,,,,,,,,,,30,,4,,,10,,,,,,
242,, , ,,6,,7,,,15,,2,,,,,,,,,
243,,,,,,,,,,,19,,15,,,,,,,,
244,,,19,,5,,,2,,6,,,,,,,,,,5,
245,,,1,,,,,,,,,,,,,,,,,,
246,,,10,1,,,,,1,29,3,,12,2,2,,,,,,1
247,,,,,,,,,,28,,,1,,,,,,,,
248,,13,12,2,,,,,,,,,,,,,,,,,
249,,,,,,,,,,27,,,,,,,4,,8,,
250,,8,,,,,5,,,11,,5,,,,,,,,,
251,,,17,,,,,,,26,2,,,,,,,,,,
252,,10,15,6,,,,,,,17,,,,3,,7,,9,,
253,,,,,,,,,,,,,,,,,,,,,
254,,5,,,1,,,,,,,,,,,,5,,6,,
255,10,,18,,14,,,,,2,,,,,,1,,2,,,
256,,,6,,7,,,,2,,,,8,,,,,,,,
257,,,16,,,,,,,25,,,,,,,,,,,
