Code,Guam,NH Oki,Oki MEU,3rd MLG,NH Yoko,Rota,Napl,Sig,NMCP,Jax,Gitmo,NHCL,2nd MLG,2nd MEU,CBIRF,NMCSD,NH 29P,NH Pend,1st MLG,1st MEU
401,,,,,,,,,1,3,,2,4,5,9,6,,,7,8
402,4,,,,,2,1,3,,,5,,,,,6,,7,,
403,,5,,,,,,,,2,,3,,,,,4,1,,
404,9,,,,5,6,7,8,1,4,,3,,,,2,,10,,
405,,,,,,,,,1,,,2,,,,,,,3,4
406,,,,,,2,1,3,7,5,,4,,,,6,,8,,
407,,8,,,4,5,6,7,3,1,2,,,,,,,,,
408,,,,,,,,,1,2,,,,,,,,,,
409,,,,,,3,4,5,2,,,,,,,1,,,,
410,,,,,,,,,3,5,,1,,,,,,4,2,6
411,13,6,8,7,14,15,16,17,11,10,18,3,2,1,20,12,19,9,5,4
412,1,3,,,,,,,,2,,4,5,6,,,,9,7,8
413,,,7,6,,9,,10,15,8,14,2,3,1,,11,12,13,5,4
414,,,,,,,5,,3,1,,4,,,,2,,,,
415,,,,,,,11,,5,1,,12,8,9,10,7,2,6,3,4
416,1,11,13,12,14,15,16,17,10,2,,3,6,8,,18,4,5,7,9
417,20,17,18,19,16,7,6,8,4,5,15,13,14,12,11,1,3,2,10,9
418,10,11,,,9,4,6,7,13,5,2,12,,,,8,3,1,,
419,,,,,9,7,8,,3,5,,,,,,1,,2,4,6
420,,,,,,,,,1,,,,,,,,,,,
421,,,,,,,,,5,7,,6,,,,1,,2,3,4
422,1,,,,4,6,7,5,,2,,,,,,8,,3,,
423,,,,,,,,,4,1,,5,8,9,10,2,,3,6,7
424,,,,,,,,,1,3,,4,,,,2,6,5,,
425,,,,,,,,6,5,2,,7,,,1,3,,4,,
426,,,,,,,4,,,2,,,,,,3,,,1,
427,,,,,,,,,1,,,2,,,,,,,,
428,18,10,2,1,11,8,7,9,14,19,12,16,4,3,20,13,17,15,6,5
429,,,,,,,,,9,5,8,6,7,,,,1,3,2,4
430,,,,,,,,,7,1,,,,,,4,3,2,6,5
431,,,,,,,,,,,,,,,,2,5,3,4,1
432,,,,,,,,,9,8,10,7,5,6,,4,11,3,1,2
433,,,,,,,,,2,,,,,3,,1,,,,4
434,9,,,,8,5,6,7,1,2,,4,,,10,3,,11,,
435,,,,,,,,,,,,,,,,4,,1,2,3
436,,,,,8,6,5,4,,,,,,,,3,7,,1,2
437,5,,,, ,,,, ,,,,,,,,4,3,2,1
438,,,,,,,,,1,3,,2,,,4,,,,,
439,,,,,,,,,7,3,,4,,,,1,8,2,5,6
440,,,,,,,,,1,5,,4,3,2,,6,,,,
441,,,,,,,,,6,5,,,,.,,3,,4,1,2
442,,1,14,10,,,,,7,3,,4,9,13,11,6,5,2,8,12
443,,,,,,,,,6,1,7,,,,8,5,,4,2,3
444,,,,,,,,,4,1,,3,10,8,,2,6,5,7,9
445,1,3,10,11,2,,,,6,4,,5,12,13,,8,9,7,14,15
446,,,,,8,,,,3,4,,5,11,10,7,1,6,2,9,8
