Code,29 Palms ED,Camp Lejeune ED,Camp Pendleton ED,Ft. Belvoir ED,Guam ED,Guantanamo Bay ED,Jacksonville ED,Naples ED,Navy Trauma Training Center,Okinawa ED,Portsmouth ED,Rota ED,San Diego ED,Sigonella ED,Walter Reed ED,Yokosuka ED,Camp Lejeune 2nd Marine Logistics Group (MLG),3rd Marine Logistics Group (Okinawa),Camp Lejeune Marine Expeditionary Unit,Camp Pendleton Marine Expeditionary Unit,"Chem-Bio Incident Response Force (Indian Head, MD)"
401,,,,,,,,,,,7,,7,,8,,,,,,
402,,,,,,,,1,,5,,,,,,,,,1,,
403,8,,,,,,,,,40,,,4,,,,8,,10,,
404,3,,,,10,1,,4,3,,6,,6,3,,,,,,7,
405,,,,,,,,,,14,1,,2,,,,,,,,
406,,,,,,,,,,1,,,,,,,,,,,
407,,2,,,,,,,,39,,,13,,5,,,,,,
408,1,,9,11,13,,,,,38,15,,,,7,,,,,,
409,,,,,9,,,,,37,,,,,,2,,,,1,
410,,,8,,,,,,,16,,,,,,,,,,,
411,,6,,,,,,3,,25,12,,,,,,,,2,,
412,7,,,9,15,,,,,36,,,,,9,,6,,7,,
413,,,,,,,3,,,17,,,,,,,,,,,
414,,, ,3,,,10,,,41,,,,,6,,,,,,
415,,,,,16,,,,,35,8,,,,,,9,,11,,
416,,,,,,,,,,,9,,10,,,,,,,,
417,,15,,,,,,,,18,16,,,,,,,,,,
418,,,,,,,,,,8,,,,,,,,1,,,
419,,,7,,,,,,,19,,,,,,,,,,,
420,,,,,12,,,,,20,,,,,,3,,,,,
421,,,,,11,,,,,,18,,,4,,,,,,,
422,,,,,,,8,,,21,,3,,,,,,,,,
423,,,2,,,,,,,34,,,11,,,,,,,,
424,,,3,,,,,,,22,,,14,,,,,,,4,
425,5,3,11,8,8,,9,,,4,,,,,4,,,,,,
426,,, ,,,,,,,,11,,,,,,,,,,
427,,, ,,,,,,,33,10,,,1,,,,,,,
428,4,12,13,,4,,,,,32,,,,,,,1,3,,6,
429,,1,,,,,,,,7,,,,,,,,,,,
430,,,,,3,,,,,13,4,,,,,,,,,,
431,,,20,4,,,6,,,3,,,,,,,,,,,
432,,,,,,,2,,,,,,,,,,,,,,
433,,,,5,,,,,,12,,,3,,1,,,,,,
434,,,5,,,,,,,31,,,,,,,,,,3,
435,6,11,,7,,,,,,,13,,5,,11,,,,3,9,
436,9,4,14,,2,,4,,,23,,,,,,,2,,5,8,
437,,,,,,,1,,,,,,,,,,,,,,
438,2,,4,,,,,,,24,,1,9,,,,,,,,
439,,,,,,,,,,10,5,,,,,,,,,,
440,,14,,10,,,,,,,14,,,,,,3,,,,
441,,7,,,,,,,,,,,,,,,,,4,2,
442,,,,,,,,,,30,,4,,,10,,,,,,
443,, , ,,6,,7,,,15,,2,,,,,,,,,
444,,,,,,,,,,,19,,15,,,,,,,,
445,,,19,,5,,,2,,6,,,,,,,,,,5,
446,,,1,,,,,,,,,,,,,,,,,,
447,,,10,1,,,,,1,29,3,,12,2,2,,,,,,1
448,,,,,,,,,,28,,,1,,,,,,,,
449,,13,12,2,,,,,,,,,,,,,,,,,
450,,,,,,,,,,27,,,,,,,4,,8,,
451,,8,,,,,5,,,11,,5,,,,,,,,,
452,,,17,,,,,,,26,2,,,,,,,,,,
453,,10,15,6,,,,,,,17,,,,3,,7,,9,,
454,,,,,,,,,,,,,,,,,,,,,
455,,5,,,1,,,,,,,,,,,,5,,6,,
456,10,,18,,14,,,,,2,,,,,,1,,2,,,
457,,,6,,7,,,,2,,,,8,,,,,,,,
458,,,16,,,,,,,25,,,,,,,,,,,
