Code,Guam,NH Oki,Oki MEU,3rd MLG,NH Yoko,Rota,Napl,Sig,NMCP,Jax,Gitmo,NHCL,2nd MLG,2nd MEU,CBIRF,NMCSD,NH 29P,NH Pend,1st MLG,1st MEU
401,,10,,,,,,,6,,,1,6,6,,,,,,
402,1,18,,,,2,6,1,,,2,,,,,,,,,
403,,5,,,,,,,,,,,,,2,,6,7,,
404,,7,,,,,,,8,,,4,8,,,,,,,
405,,8,,,,,,,5,,,5,,,,,,8,,12
406,,19,,,,,,,,,,,,,,,,,,
407,,16,,,,,,,12,1,3,,,,,,,,,
408,,,,,,,,,4,,,,,,,,,,,
409,,12,,,,,,,7,,,,,,,1,,,,
410,,,,,,,,,14,,,2,7,4,,,9,,7,8
411,,2,,,,,,,,,,,,2,,,,,14,14
412,,3,,,,,,,,,,8,1,,,,,,6,6
413,,9,,1,,,,,,,,,9,1,,,,,,10
414,,20,,,,,,,,2,,,,,,,,,,
415,,,,,,,5,5,,5,,,,,,,5,,5,
416,,11,,,,,,,,7,,7,3,,,,3,,9,
417,,13,,,,,2,,,,,,,,,5,2,,,
418,,21,,,,1,1,,,,1,,,,,,4,1,,
419,,22,,,3,,,,,,,,,,,4,,3,,
420,,,,,,,,,1,,,,,,,,,,,
421,,,,,,,,,,,,9,,,,,,,2,13
422,,23,,,2,,,,,,,,,,,,10,5,,
423,,,,,,,,,10,3,,,,,,,,,,
424,,,,,,,,,9,,,,,,,3,,,,
425,,,,,,,,4,,,,,,,1,,,,,
426,,,,,,,7,,,,,,,,,6,,,1,
427,,17,,,,,,,3,,,,,,,,,,,
428,,24,1,2,,4,3,,,,,,2,3,,,,,,2
429,,25,,,,,,,,,,,,,,,1,4,4,1
430,,,,,,,,,,4,,,,,,,12,,,
431,,,,,,,,,,,,,,,,,7,2,8,7
432,,26,,,,,,,,,,,4,5,,,,,3,9
433,,27,,,,,,,,,,,,,,2,,,,
434,,15,,,,3,4,2,2,,,,,,,,,,,
435,,,,,,,,,,,,,,,,,,,10,5
436,,28,,,,,,,,,,,,,,,8,,11,3
437,,29,,,,,,3,,,,,,,,,13,,,11
438,,14,,,,,,,13,,4,6,,,,,,,,
439,,6,,,,,,,,,,11,,,,,,6,,
440,,,,,,,,,11,,,12,5,,,,,,,
441,,,,,,,,,,,,,,,,,,,12,4
442,,1,,,,,,,,,,10,,,,,,,,
443,,,,,,,,,,8,,,,,,,,,13,
444,,,,,,,,,,,,,,,,,,,,
445,,4,,,1,,,,,6,,3,,,,,,,,
446,,,,,,,,,,,,,,,,7,11,,,
