 Code,Guam,NH Oki,Oki MEU,3rd MLG,NH Yoko,Rota,Napl,Sig,NMCP,Jax,Gitmo,NHCL,2nd MLG,2nd MEU,CBIRF,NMCSD,NH 29P,NH Pend,1st MLG,Pen MEU
401,,,,,,,,,1,5,,2,3,4,,6,,,,
402,4,,,,,2,1,3,,,5,,,,,,,,,
403,3,4,,,,,,,8,1,,6,,,,7,5,2,,
404,6,,,,5,4,,,1,,,3,,,,2,,,,
405, ,,,,,,,,1,,,3,,,,2,,,5,4
406,,,,,,,1,,5,2,,3,,8,7,6,,4,,
407,,5,6,7,4,8,9,,3,1,2,,,,,,,,,
408,,,,,,,,,1,,,2,,,,,,,,
409,,,,,,,,,2,,,,,,,1,,,,
410,,,,,,,,,1,,,4,,,,2,,,3,
411,,6,,7,,,,,,,,2,3,1,,,,,5,4
412,1,2,,,,,,,,3,,6,4,5,,,,9,8,7
413,,,4,5,,,,,,8,,2,3,1,,,,,7,6
414,,,,,,,,,,1,,,,,,,,,,
415,,,,,,,6,,,1,,,,,2,,3,,4,5
416,,,,,,,,,5,1,,2,7,,,6,4,3,,
417,,,,,,6,5,7,3,2,,,,,,1,8,4,,
418,,,,,,4,6,,,5,2,,,,,,3,1,,
419,,,,,5,,,,3,4,,,,,,1,,2,,
420,,,,,,,,,1,,,,,,,,,,,
421,,,,,,,,,6,5,,7,,,,1,,2,3,4
422,1,,,,4,,,,,2,,,,,,5,,3,,
423,,,,,,,,,4,1,,5,,,,2,6,3,,
424, , ,,, , , , ,1,3, ,4,,,,2,6,5,,
425,,,,,,,, ,5,2,, ,,,1,3,,4,,
426,,,,,,,4,,,2,,,,,,1,,3,,
427,,,,,,,,,1,,,2,,,,,,,,
428,,,,,,5,6,,2,1,,3,,,,4,,,,
429,,,4,2,,,7,,,,,,6,5,,,,,1,3
430,,,,,,,,,1,2,,,,,,3,,4,,
431,,,,,,,,,,,,,,,,,1,4,2,3
432,,,,,,,,,,,,,,,,3,2,1,4,5
433,,,,,,,,,5,2,,,,,,4,3,1,,
434,,,,,,,,,,,,,,,,2,5,3,4,1
435,,,,,,,,,,,,,,,,,,3,1,2
436,,,,,,,1,2,3,,,,,,,,,4,,
437,,,,,,,,,2,,,,,,,1,,,,
438,6,,,,7,3,4,5,1,2,,,,,, ,,,,
439,,,,,,,,,,,,,,,,4,,2,1,3
440,,,,,,,,,,,,,,,,3,4,,2,1
441,5,,,,,,,,,,,,,,,,4,3,2,1
442,,,,,,,,,1,3,4,2,,,5,,,,,
443,,,,,,,,,5,4,,3,,,,1,7,2,,6
444,,,,,,,,,1,5,,4,3,2,,6,,,,
445,,,,,,,,,5,6,,,,,,3,4,,1,2
446,,1,,,,,,,,,,,,,,,,,,
447,,,,,,,,,5,1,,3,,,,2,,4,,
448,,,,,,,,,5,1,8,,,,7,6,,4,2,3
449,,,,,, ,,,2,1,,4,,,,3,,,,
450,1,3,10,7,2,,,,,4,,,9,12,,6,,5,8,11
451,,,,,,,,,3,4,,5,,,,1,6,2,,
