package_name,on_cran,install,github_username,description
dplyr,TRUE,TRUE,hadley,Next generation of plyr.
ggplot2,TRUE,TRUE,,Graphing.
knitr,TRUE,TRUE,,For reporting.
magrittr,TRUE,TRUE,,pipes
matchingMarkets,TRUE,TRUE,,The real work of matching officers and billets.
readr,TRUE,TRUE,,Reads data files from disk.
rmarkdown,TRUE,TRUE,rstudio,Needed for knitr and reports.
testit,TRUE,TRUE,,Has the useful `assert()` function.
testthat,TRUE,TRUE,hadley,Heavier testing framework that's good for package development.
tidyr,TRUE,TRUE,,"Data manipulation; replaces much of reshape2; works w/ magrittr and dplyr well."
